quicksort,2,4,0
quicksort,3,8,0
quicksort,4,16,0
quicksort,5,32,0
quicksort,6,64,0
quicksort,7,128,0.001
quicksort,8,256,0.004
quicksort,9,512,0.007
quicksort,10,1024,0.017
quicksort,11,2048,0.029
quicksort,12,4096,0.061
quicksort,13,8192,0.116
quicksort,14,16384,0.236
quicksort,15,32768,0.46
quick_select,2,4,0
quick_select,3,8,0
quick_select,4,16,0
quick_select,5,32,0
quick_select,6,64,0
quick_select,7,128,0
quick_select,8,256,0.001
quick_select,9,512,0
quick_select,10,1024,0
quick_select,11,2048,0.001
quick_select,12,4096,0.002
quick_select,13,8192,0.004
quick_select,14,16384,0.009
quick_select,15,32768,0.019
heap,2,4,0
heap,3,8,0
heap,4,16,0
heap,5,32,0
heap,6,64,0.001
heap,7,128,0
heap,8,256,0
heap,9,512,0.001
heap,10,1024,0.001
heap,11,2048,0.001
heap,12,4096,0.002
heap,13,8192,0.005
heap,14,16384,0.01
heap,15,32768,0.02
