bottomkelement,quicksort,2,4,0
bottomkelement,quicksort,3,8,0
bottomkelement,quicksort,4,16,0
bottomkelement,quicksort,5,32,0.000666667
bottomkelement,quicksort,6,64,0.001
bottomkelement,quicksort,7,128,0.00166667
bottomkelement,quicksort,8,256,0.00366667
bottomkelement,quicksort,9,512,0.00633333
bottomkelement,quicksort,10,1024,0.015
bottomkelement,quicksort,11,2048,0.022
bottomkelement,quicksort,12,4096,0.0466667
bottomkelement,quicksort,13,8192,0.108
bottomkelement,quicksort,14,16384,0.209
bottomkelement,quicksort,15,32768,0.406667
bottomkelement,quick_select,2,4,0
bottomkelement,quick_select,3,8,0
bottomkelement,quick_select,4,16,0
bottomkelement,quick_select,5,32,0
bottomkelement,quick_select,6,64,0.000333333
bottomkelement,quick_select,7,128,0
bottomkelement,quick_select,8,256,0
bottomkelement,quick_select,9,512,0.000333333
bottomkelement,quick_select,10,1024,0.000333333
bottomkelement,quick_select,11,2048,0.00133333
bottomkelement,quick_select,12,4096,0.00133333
bottomkelement,quick_select,13,8192,0.00333333
bottomkelement,quick_select,14,16384,0.007
bottomkelement,quick_select,15,32768,0.00933333
bottomkelement,heap,2,4,0
bottomkelement,heap,3,8,0
bottomkelement,heap,4,16,0
bottomkelement,heap,5,32,0
bottomkelement,heap,6,64,0
bottomkelement,heap,7,128,0.000333333
bottomkelement,heap,8,256,0
bottomkelement,heap,9,512,0.000333333
bottomkelement,heap,10,1024,0.001
bottomkelement,heap,11,2048,0.00133333
bottomkelement,heap,12,4096,0.003
bottomkelement,heap,13,8192,0.00566667
bottomkelement,heap,14,16384,0.0126667
bottomkelement,heap,15,32768,0.024
topkelement,quicksort,2,4,0
topkelement,quicksort,3,8,0.000333333
topkelement,quicksort,4,16,0
topkelement,quicksort,5,32,0.000333333
topkelement,quicksort,6,64,0.000333333
topkelement,quicksort,7,128,0.00133333
topkelement,quicksort,8,256,0.00266667
topkelement,quicksort,9,512,0.00533333
topkelement,quicksort,10,1024,0.0113333
topkelement,quicksort,11,2048,0.0226667
topkelement,quicksort,12,4096,0.0473333
topkelement,quicksort,13,8192,0.100333
topkelement,quicksort,14,16384,0.196333
topkelement,quicksort,15,32768,0.397
topkelement,quick_select,2,4,0
topkelement,quick_select,3,8,0
topkelement,quick_select,4,16,0
topkelement,quick_select,5,32,0
topkelement,quick_select,6,64,0.000333333
topkelement,quick_select,7,128,0
topkelement,quick_select,8,256,0
topkelement,quick_select,9,512,0.000666667
topkelement,quick_select,10,1024,0.000333333
topkelement,quick_select,11,2048,0.000666667
topkelement,quick_select,12,4096,0.002
topkelement,quick_select,13,8192,0.004
topkelement,quick_select,14,16384,0.00666667
topkelement,quick_select,15,32768,0.016
topkelement,heap,2,4,0
topkelement,heap,3,8,0
topkelement,heap,4,16,0
topkelement,heap,5,32,0
topkelement,heap,6,64,0
topkelement,heap,7,128,0.000333333
topkelement,heap,8,256,0
topkelement,heap,9,512,0.000333333
topkelement,heap,10,1024,0.000666667
topkelement,heap,11,2048,0.00133333
topkelement,heap,12,4096,0.003
topkelement,heap,13,8192,0.006
topkelement,heap,14,16384,0.0126667
topkelement,heap,15,32768,0.026
nsmallest,quicksort,2,4,0
nsmallest,quicksort,3,8,0
nsmallest,quicksort,4,16,0
nsmallest,quicksort,5,32,0.000333333
nsmallest,quicksort,6,64,0.000666667
nsmallest,quicksort,7,128,0.00133333
nsmallest,quicksort,8,256,0.00266667
nsmallest,quicksort,9,512,0.006
nsmallest,quicksort,10,1024,0.012
nsmallest,quicksort,11,2048,0.0233333
nsmallest,quicksort,12,4096,0.047
nsmallest,quicksort,13,8192,0.0993333
nsmallest,quicksort,14,16384,0.197333
nsmallest,quicksort,15,32768,0.394333
nsmallest,quick_select,2,4,0
nsmallest,quick_select,3,8,0
nsmallest,quick_select,4,16,0.000333333
nsmallest,quick_select,5,32,0.000666667
nsmallest,quick_select,6,64,0.00233333
nsmallest,quick_select,7,128,0.00766667
nsmallest,quick_select,8,256,0.023
nsmallest,quick_select,9,512,0.0726667
nsmallest,quick_select,10,1024,0.253333
nsmallest,quick_select,11,2048,0.885333
nsmallest,quick_select,12,4096,3.31033
nsmallest,quick_select,13,8192,12.793
nsmallest,quick_select,14,16384,50.7493
nsmallest,quick_select,15,32768,213.141
nsmallest,heap,2,4,0
nsmallest,heap,3,8,0
nsmallest,heap,4,16,0
nsmallest,heap,5,32,0
nsmallest,heap,6,64,0
nsmallest,heap,7,128,0.000333333
nsmallest,heap,8,256,0.000333333
nsmallest,heap,9,512,0.000333333
nsmallest,heap,10,1024,0.001
nsmallest,heap,11,2048,0.00233333
nsmallest,heap,12,4096,0.00466667
nsmallest,heap,13,8192,0.009
nsmallest,heap,14,16384,0.0203333
nsmallest,heap,15,32768,0.044
nlargest,quicksort,2,4,0
nlargest,quicksort,3,8,0
nlargest,quicksort,4,16,0.000333333
nlargest,quicksort,5,32,0.000666667
nlargest,quicksort,6,64,0.000666667
nlargest,quicksort,7,128,0.00133333
nlargest,quicksort,8,256,0.00333333
nlargest,quicksort,9,512,0.006
nlargest,quicksort,10,1024,0.0126667
nlargest,quicksort,11,2048,0.0243333
nlargest,quicksort,12,4096,0.0493333
nlargest,quicksort,13,8192,0.104
nlargest,quicksort,14,16384,0.205
nlargest,quicksort,15,32768,0.466
nlargest,quick_select,2,4,0
nlargest,quick_select,3,8,0
nlargest,quick_select,4,16,0.000333333
nlargest,quick_select,5,32,0.00133333
nlargest,quick_select,6,64,0.00366667
nlargest,quick_select,7,128,0.00833333
nlargest,quick_select,8,256,0.026
nlargest,quick_select,9,512,0.0776667
