quicksort,2,4,0
quicksort,3,8,0
quicksort,4,16,0
quicksort,5,32,0.001
quicksort,6,64,0.001
quicksort,7,128,0.001
quicksort,8,256,0.003
quicksort,9,512,0.006
quicksort,10,1024,0.014
quicksort,11,2048,0.028
quicksort,12,4096,0.057
quicksort,13,8192,0.114
quicksort,14,16384,0.233
quicksort,15,32768,0.467
quick_select,2,4,0
quick_select,3,8,0
quick_select,4,16,0
quick_select,5,32,0
quick_select,6,64,0
quick_select,7,128,0
quick_select,8,256,0.001
quick_select,9,512,0.001
quick_select,10,1024,0.002
quick_select,11,2048,0.003
quick_select,12,4096,0.009
quick_select,13,8192,0.018
quick_select,14,16384,0.038
quick_select,15,32768,0.085
heap,2,4,0
heap,3,8,0
heap,4,16,0
heap,5,32,0
heap,6,64,0
heap,7,128,0.001
heap,8,256,0
heap,9,512,0
heap,10,1024,0.001
heap,11,2048,0.002
heap,12,4096,0.004
heap,13,8192,0.008
heap,14,16384,0.016
heap,15,32768,0.035
